BELGIUM,BE,XBRD,XBRU,S,EURONEXT - EURONEXT BRUSSELS - DERIVATIVES,,BRUSSELS,WWW.EURONEXT.COM,APRIL 2015,ACTIVE,NOVEMBER 2007,
BELGIUM,BE,XBRU,XBRU,O,EURONEXT - EURONEXT BRUSSELS,,BRUSSELS,WWW.EURONEXT.COM,APRIL 2015,ACTIVE,JUNE 2005,
BERMUDA,BM,24EX,24EX,O,24 EXCHANGE,24EX,BERMUDA,WWW.24EXCHANGE.NET,SEPTEMBER 2019,ACTIVE,SEPTEMBER 2019,FOREIGN EXCHANGE AND EQUITIES.
BERMUDA,BM,GTXE,GTXE,O,GTX ECN,,HAMILTON,WWW.GAINGTX.COM,DECEMBER 2017,ACTIVE,DECEMBER 2017,GTX ELECTRONIC COMMUNICATIONS NETWORK.
BERMUDA,BM,XBDA,XBDA,O,BERMUDA STOCK EXCHANGE LTD,BSX,HAMILTON,WWW.BSX.COM,JUNE 2005,ACTIVE,JUNE 2005,
BOLIVIA,BO,XBOL,XBOL,O,BOLSA BOLIVIANA DE VALORES S.A.,,LA PAZ,WWW.BOLSA-VALORES-BOLIVIA.COM,JUNE 2005,ACTIVE,JUNE 2005,
BOSNIA AND HERZEGOVINA,BA,BLBF,XBLB,S,BANJA LUKA STOCK EXCHANGE - FREE MARKET,BLSE,BANJA LUKA,WWW.BLBERZA.COM,MARCH 2013,ACTIVE,MARCH 2013,
BOSNIA AND HERZEGOVINA,BA,XBLB,XBLB,O,BANJA LUKA STOCK EXCHANGE,,BANJA LUKA,WWW.BLBERZA.COM,OCTOBER 2005,ACTIVE,OCTOBER 2005,
BOSNIA AND HERZEGOVINA,BA,XSSE,XSSE,O,SARAJEVO STOCK EXCHANGE,SASE,SARAJEVO,WWW.SASE.BA,JUNE 2007,ACTIVE,JUNE 2007,
BOTSWANA,BW,BOTE,XBOT,S,BOTSWANA STOCK EXCHANGE - EXCHANGE TRADED FUNDS (ETF),BOT,GABORONE,WWW.BSE.CO.BW,MARCH 2013,ACTIVE,MARCH 2013,
BOTSWANA,BW,BOTV,XBOT,S,BOTSWANA STOCK EXCHANGE - VENTURE CAPITAL,BOT,GABORONE,WWW.BSE.CO.BW,MARCH 2013,ACTIVE,MARCH 2013,
BOTSWANA,BW,XBOT,XBOT,O,BOTSWANA STOCK EXCHANGE,,GABORONE,WWW.BSE.CO.BW,JUNE 2005,ACTIVE,JUNE 2005,
BRAZIL,BR,BCMM,BCMM,O,BOLSA DE CEREAIS E MERCADORIAS DE MARINGÁ,,MARINGA,WWW.BCMM.COM.BR,MARCH 2013,ACTIVE,DECEMBER 2010,COMMODITIES MARKET.
BRAZIL,BR,BOVM,BOVM,O,BOLSA DE VALORES MINAS-ESPÍRITO SANTO-BRASÍLIA,,ESPIRITO SANTO,WWW.BOVMESB.COM.BR,MARCH 2013,ACTIVE,DECEMBER 2010,COMMODITIES MARKET.
BRAZIL,BR,BRIX,BRIX,O,BRAZILIAN ENERGY EXCHANGE,,SAO PAULO,,MAY 2011,ACTIVE,MAY 2011,ELECTRONIC TRADING PLATFORM FOR OTC DERIVATIVES
BRAZIL,BR,BVMF,BVMF,O,"BM&FBOVESPA S.A. - BOLSA DE VALORES, MERCADORIAS E FUTUROS",,SAO PAULO,WWW.BMFBOVESPA.COM.BR,APRIL 2010,ACTIVE,APRIL 2010,"EQUITIES, SECURITIES, FINANCIAL ASSETS, INDICES, INTEREST RATES, AGRICULTURAL COMMODITIES, AND FOREIGN EXCHANGE FUTURES AND SPOT CONTRACTS."
BRAZIL,BR,CETI,CETI,O,CETIP S.A. - MERCADOS ORGANIZADOS,,RIO DE JANEIRO,WWW.CETIP.COM.BR,MARCH 2013,ACTIVE,SEPTEMBER 2009,"ELECTRONIC TRADING, TRADE REGISTRATION AND FINANCIAL SETTLEMENT FOR TRANSACTIONS INVOLVING FIXED INCOME SECURITIES AND OTC DERIVATIVES."
BRAZIL,BR,SELC,SELC,O,SISTEMA ESPECIAL DE LIQUIDACAO E CUSTODIA DE TITULOS PUBLICOS,,RIO DE JANEIRO,WWW4.BCB.GOV.BR,JANUARY 2011,ACTIVE,JANUARY 2011,SELIC (SISTEMA ESPECIAL DE LIQUIDACAO E CUSTODIA DE TITULOS PUBLICOS - IN ENGLISH: SPECIAL SYSTEM FOR CUSTODY AND SETTLEMENT OF PUBLIC SECURITIES) IS THE CENTRAL CUSTODIAN FOR ALL SECURITIES EMITTED BY THE BRAZILIAN NATIONAL TREASURY.
BULGARIA,BG,ABUL,XBUL,S,BULGARIAN STOCK EXCHANGE - ALTERNATIVE MARKET,BSE,SOFIA,WWW.BSE-SOFIA.BG,AUGUST 2016,ACTIVE,AUGUST 2016,ALTERNATIVE REGULATED MARKET.
BULGARIA,BG,GBUL,XBUL,S,BULGARIAN STOCK EXCHANGE - SME GROWTH MARKET BEAM,BEAM,SOFIA,WWW.BSE-SOFIA.BG,JANUARY 2019,ACTIVE,JANUARY 2019,BULGARIAN STOCK EXCHANGE SME GROWTH MARKET.
